analysisPlanSort	analysisPlanId	description	NAME1	STAT1
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time:Count	Time:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv:Count	Time/Lv:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1:Count	Time/Lv/K1:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2:Count	Time/Lv/K1/K2:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3:Count	Time/Lv/K1/K2/K3:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4:Count	Time/Lv/K1/K2/K3/K4:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5:Count	Time/Lv/K1/K2/K3/K4/K5:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6:Count	Time/Lv/K1/K2/K3/K4/K5/K6:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos classical:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non classical:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/Monos non classical:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/TNF+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14+_OR_SShi/TNF+:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19+:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19+/27+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19+/27+:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19+/95+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19+/95+:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19-:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19-:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19-/3+:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19-/3+:Count
AP-053	53	27-color ICS for VIR CMV vector vaccine studies	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19-/3+/3+excl 16br:Count	Time/Lv/K1/K2/K3/K4/K5/K6/K7/K8/14-/L/S/19-/3+/3+excl 16br:Count
