Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1
AP-066	66	time	Time:Count	Time:Count
AP-066	66	K1	Time/K1:Count	Time/K1:Count
AP-066	66	K2	Time/K1/K2:Count	Time/K1/K2:Count
AP-066	66	K3	Time/K1/K2/K3:Count	Time/K1/K2/K3:Count
AP-066	66	K4	Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count
AP-066	66	K5	Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count
AP-066	66	K6	Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count
AP-066	66	K7	Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count
AP-066	66	singlets	Time/K1/K2/K3/K4/K5/K6/K7/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/S:Count
AP-066	66	CD27+ CD21+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count
AP-066	66	CD27+ CD21- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count
AP-066	66	CD27- CD21+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count
AP-066	66	CD27- CD21- b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count
AP-066	66	CD27+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count
AP-066	66	RBD+ CD27+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/RBD+:Count
AP-066	66	RBD- CD27+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/RBD-:Count
AP-066	66	RBD+ S2P+ CD27+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/RBD+S2P+:Count
AP-066	66	S2P++ CD27+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/S2P++:Count
AP-066	66	RBD+ S2P++ CD27+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ CD27+ b cells	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+/S2P++/RBD-:Count
AP-066	66	CD27+ CD38+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+:Count
AP-066	66	IgG+ CD27+ CD38+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+:Count
AP-066	66	S2P++ IgG+ CD27+ CD38+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+/S2P++:Count
AP-066	66	RBD+ S2P++ IgG+ CD27+ CD38+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+/S2P++/RBD+:Count
AP-066	66	RBD- S2P++ IgG+ CD27+ CD38+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+/S2P++/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/CD27+ CD38+/IgG+/S2P++/RBD-:Count
AP-066	66	plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+:Count
AP-066	66	Ki-67+ CD27+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27+ (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27+ (Plasmablast):Count
AP-066	66	Ki-67+ CD27- plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27- (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67+ CD27- (Plasmablast):Count
AP-066	66	Ki-67- CD27+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67- CD27+ (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67- CD27+ (Plasmablast):Count
AP-066	66	Ki-67- CD27- plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67- CD27- (Plasmablast):Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/Ki-67- CD27- (Plasmablast):Count
AP-066	66	RBD+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/RBD+:Count
AP-066	66	RBD- plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/RBD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/RBD-:Count
AP-066	66	RBD+ S2P+ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/RBD+S2P+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/RBD+S2P+:Count
AP-066	66	S2P++ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++:Count
AP-066	66	S2P++ plasmablasts/CD27+ IgD+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD+/CD27+:Count
AP-066	66	S2P++ plasmablasts/IgD+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD+:Count
AP-066	66	S2P++ plasmablasts/IgD-	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-:Count
AP-066	66	S2P++ plasmablasts/IgD- IgA+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgA+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgA+:Count
AP-066	66	S2P++ plasmablasts/IgD+ IgG+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD+/IgD+IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD+/IgD+IgG+:Count
AP-066	66	S2P++ plasmablasts/IgD- IgM-	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgD- IgM-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgD- IgM-:Count
AP-066	66	S2P++ plasmablasts/IgD- IgG+ CD27+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgG+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgG+/CD27+:Count
AP-066	66	S2P++ plasmablasts/IgD- IgG+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgG+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgG+:Count
AP-066	66	S2P++ plasmablasts/IgD+ IgM+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD+/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD+/IgM+:Count
AP-066	66	S2P++ plasmablasts/IgD- IgM+	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgM+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/IgD-/IgM+:Count
AP-066	66	RBD+ S2P++ plasmablasts	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/RBD+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20- CD38+/S2P++/RBD+:Count
