Rowid	Analysis Plan Sort	Analysis Plan Id	Description	NAME1	STAT1	NAME2	STAT2	NAME3	STAT3	NAME4	STAT4	NAME5	STAT5	NAME6	STAT6	NAME7	STAT7	NAME8	STAT8	NAME9	STAT9	NAME10	STAT10
16487	AP-064	64		Time:Count	Time:Count																		
16488	AP-064	64		Time/S:Count	Time/S:Count																		
16489	AP-064	64		Time/S/L/CD19+/CD20+/426cCoreAF647+ 426cCoreKO+:Count	Time/S/L/CD19+/CD20+/426cCoreAF647+ 426cCoreKO+:Count																		
16490	AP-064	64		Time/S/L/CD19+/CD20+/426cCoreKO AF488+:Count	Time/S/L/CD19+/CD20+/426cCoreKO AF488+:Count																		
16491	AP-064	64		Time/S/L/CD19+/CD20+/426cCoreKO AF488-:Count	Time/S/L/CD19+/CD20+/426cCoreKO AF488-:Count																		
16492	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+:Count																		
16493	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-:Count																		
16494	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD+/CD27+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD+/CD27+:Count																		
16495	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD+/CD27+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD+/CD27+:Count																		
16496	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD+:Count																		
16497	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-:Count																		
16498	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD+:Count																		
16499	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-:Count																		
16500	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-/IgA+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-/IgA+:Count																		
16501	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-/IgA+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-/IgA+:Count																		
16502	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-/IgG+/CD27+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-/IgG+/CD27+:Count																		
16503	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-/IgG+/CD27+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-/IgG+/CD27+:Count																		
16504	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-/IgG+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-/IgG+:Count																		
16505	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-/IgG+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-/IgG+:Count																		
16506	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-/IgM+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD-/IgM+:Count																		
16507	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-/IgM+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD-/IgM+:Count																		
16508	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD+/IgM naive:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488+/IgD+/IgM naive:Count																		
16509	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD+/IgM naive:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/426cCoreKO AF488-/IgD+/IgM naive:Count																		
16510	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/CD27+CD21+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/CD27+CD21+:Count																		
16511	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/CD27+CD21-:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/CD27+CD21-:Count																		
16512	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/CD27-CD21+:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/CD27-CD21+:Count																		
16513	AP-064	64		Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/CD27-CD21-:Count	Time/S/L/CD19+/CD20+/426cCorePE+ 426cCoreAF647+/CD27-CD21-:Count																		
