AnalysisPlanSort	AnalysisPlanId	NAME1	STAT1
AP-060	60	Time:Count	Time:Count
AP-060	60	Time/K1:Count	Time/K1:Count
AP-060	60	Time/K1/K2:Count	Time/K1/K2:Count
AP-060	60	Time/K1/K2/K3:Count	Time/K1/K2/K3:Count
AP-060	60	Time/K1/K2/K3/K4:Count	Time/K1/K2/K3/K4:Count
AP-060	60	Time/K1/K2/K3/K4/K5:Count	Time/K1/K2/K3/K4/K5:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6:Count	Time/K1/K2/K3/K4/K5/K6:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7:Count	Time/K1/K2/K3/K4/K5/K6/K7:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S:Count	Time/K1/K2/K3/K4/K5/K6/K7/S:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21+:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27+CD21-:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21+:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CD27-CD21-:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505+ (AF647) D371+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505+ (AF647) D371+:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505+ (BV711) D371+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505+ (BV711) D371+:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505++:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505++:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505++/CD27+:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505++/CD27+:Count
AP-060	60	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505++/CH505D371-:Count	Time/K1/K2/K3/K4/K5/K6/K7/S/L/CD19+/CD20+/CH505++/CH505D371-:Count
